class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_a,rough_a,slp_d,sp_a
not,733.6099854,4.6445498,1.3379101,0.95671,-0.381203,0.447805,3.8908501,16.0884991,-1.26359
not,504.6889954,6.32517,-0.577197,-0.703065,-0.125869,0.190895,4.3062,25.8029003,-15.7813997
not,3197.120117,6.75144,-0.585259,-0.17478,0.410479,0.441362,4.21345,21.0984001,-5.2685499
not,8250.280273,7.5419798,0.836182,0.316207,-0.519975,0.548079,4.8491502,19.2915993,3.7058101
not,188.3829956,6.1204,0.417978,0.285532,-0.132446,0.374288,2.77719,7.5114002,-3.67786
not,1354.439941,4.81569,1.00361,0.321062,-0.682552,0.536165,3.25142,13.6608,0.842789
not,1634.859985,5.4850502,1.17082,0.227427,-0.943393,0.53274,2.64077,7.0939698,-1.84991
not,2628.030029,5.2648902,-0.0085901,0.172494,0.181084,0.41382,5.1065502,24.9522991,-0.765488
not,5446.990234,6.6103301,-0.184236,-0.0312111,0.153025,0.502699,4.2578702,15.7876997,1.55873
not,3726.73999,5.16646,4.1392398,3.2113099,-0.927925,0.729749,4.1445799,9.7115898,11.6357002
not,3283.800049,6.9355898,-0.0836031,0.0590675,0.142671,0.369484,5.2686701,25.0242996,-7.0069299
not,297.6589966,7.7947402,0.292743,0.231114,-0.0616284,0.486074,2.8713901,8.4345102,-0.155899
not,68.0302963,6.1166701,-0.301107,0.241431,0.542538,0.331693,2.2944601,7.5391598,-3.9061999
not,841.934021,7.2214599,0.125461,-0.0393481,-0.164809,0.564554,2.8603201,7.4932599,0.759094
not,748.6879883,6.7346201,-0.117022,0.0294258,0.146448,0.27077,4.2446198,15.927,-12.3239002
not,2189.179932,7.40171,-0.209064,-0.267888,-0.0588236,0.484789,4.5798702,15.3547001,1.0707901
not,5140.129883,5.45471,1.17063,1.13713,-0.0335061,0.603648,3.9786699,14.3898001,13.6240997
not,2299.98999,8.3896599,-0.0207218,0.0017738,0.0224956,0.456058,2.68857,5.4509802,-0.346741
not,1720.800049,6.6510201,-0.463867,0.0990616,0.562929,0.476869,4.2754002,19.2404995,-0.243347
